Timestamp,SecurityId,Best_Bid_Price,Best_Bid_Qty,Best_Ask_Price,Best_Ask_Qty
2026-08-11T08:39:00.060841,11483,4042.0,727.0,4043.2,23.0
2026-08-11T08:39:00.061100,11915,22.66,81708.0,22.67,9423.0
2026-08-11T08:39:01.062832,1333,728.95,2039.0,729.0,1682.0
2026-08-11T08:39:01.063071,2885,1324.0,718.0,1324.1,49.0
2026-08-11T08:39:01.063214,11536,2440.3,37.0,2440.4,153.0
2026-08-11T08:39:01.063546,1594,1188.8,1436.0,1189.1,249.0
2026-08-11T08:39:01.063965,4963,1421.3,711.0,1421.5,1.0
2026-08-11T08:39:01.064350,3045,1069.8,500.0,1070.0,176.0
2026-08-11T08:39:01.064554,3456,347.7,775.0,347.85,229.0
2026-08-11T08:39:01.064909,1922,391.35,2136.0,391.4,29.0
2026-08-11T08:39:01.065257,11483,4042.0,739.0,4043.3,8.0
2026-08-11T08:39:01.065526,11915,22.66,81708.0,22.67,9423.0
2026-08-11T08:39:02.067191,1333,728.95,2251.0,729.0,1337.0
2026-08-11T08:39:02.067467,2885,1324.0,1050.0,1324.1,51.0
2026-08-11T08:39:02.067701,11536,2440.3,34.0,2440.4,144.0
2026-08-11T08:39:02.067975,1594,1188.8,1200.0,1189.1,202.0
2026-08-11T08:39:02.068224,4963,1421.3,711.0,1421.5,1.0
2026-08-11T08:39:02.068476,3045,1069.8,1065.0,1070.3,745.0
2026-08-11T08:39:02.068827,3456,347.7,775.0,347.85,224.0
2026-08-11T08:39:02.069226,1922,391.35,2139.0,391.4,26.0
2026-08-11T08:39:02.069578,11483,4042.0,739.0,4043.3,8.0
2026-08-11T08:39:02.069974,11915,22.66,81705.0,22.67,9423.0
2026-08-11T08:39:03.071895,1333,728.95,2246.0,729.0,1206.0
2026-08-11T08:39:03.072149,2885,1324.0,569.0,1324.2,448.0
2026-08-11T08:39:03.072412,11536,2440.3,33.0,2440.4,123.0
2026-08-11T08:39:03.072622,1594,1188.8,1493.0,1189.1,30.0
2026-08-11T08:39:03.072829,4963,1421.4,3.0,1421.6,18.0
2026-08-11T08:39:03.073240,3045,1069.8,1032.0,1070.1,16.0
2026-08-11T08:39:03.073610,3456,347.75,1.0,347.85,313.0
2026-08-11T08:39:03.073872,1922,391.35,2138.0,391.4,26.0
2026-08-11T08:39:03.074060,11483,4042.0,736.0,4043.4,10.0
2026-08-11T08:39:03.074217,11915,22.66,81573.0,22.67,9423.0
2026-08-11T08:39:04.075798,1333,729.0,58.0,729.05,3.0
